123,2023-10-17,08:00,2023-10-17,10:00,Paris,Lyon,3,4,50
456,2023-10-18,12:30,2023-10-18,10:30,Lyon,Marseille,3,3,40
789,2023-10-19,15:45,2023-10-19,13:30,Marseille,Nice,7,15,60
101,2023-10-20,09:15,2023-10-20,07:00,Nice,Barcelone,4,12,45
202,2023-10-21,14:00,2023-10-21,11:30,Barcelone,Madrid,6,14,55
303,2023-10-22,17:30,2023-10-22,15:00,Madrid,Seville,8,18,70
404,2023-10-23,11:45,2023-10-23,09:30,Seville,Valence,5,11,48
505,2023-10-24,13:20,2023-10-24,10:45,Valence,Zaragoza,3,9,42
606,2023-10-25,16:55,2023-10-25,14:30,Zaragoza,Barcelone,7,16,63
707,2023-10-26,08:10,2023-10-26,06:00,Barcelone,Marseille,4,10,55
